Roger Barkan,Angela Lavoie,{'puzzle_name': 'Endless Love', 'hunt_name': 'MIT Mystery Hunt 2005'}
Roger Barkan,Marcy Levey,{'puzzle_name': 'Cookie Monster', 'hunt_name': 'MIT Mystery Hunt 2005'}
Roger Barkan,Roger Ford,{'puzzle_name': 'The Economist meta', 'hunt_name': 'MIT Mystery Hunt 2017'}
Roger Barkan,Cortez Jette,{'puzzle_name': 'Out of the Mouths of Babes', 'hunt_name': 'MIT Mystery Hunt 2017'}
Roger Barkan,Nicky Pliska,{'puzzle_name': 'Out of the Mouths of Babes', 'hunt_name': 'MIT Mystery Hunt 2017'}
Roger Barkan,Edward Safdi,{'puzzle_name': 'Out of the Mouths of Babes', 'hunt_name': 'MIT Mystery Hunt 2017'}
Roger Barkan,Guy Jacobson,{'puzzle_name': 'Changing Rooms', 'hunt_name': 'MIT Mystery Hunt 2017'}
Roger Barkan,Todd McClary,{'puzzle_name': 'Attention Span', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Greg Pliska,{'puzzle_name': 'Turn on a Dime', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Kiran Kedlaya,{'puzzle_name': 'Listicle', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Tanis O'Connor,{'puzzle_name': 'The Maniacal Merchants', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Eleanor Pritchard,{'puzzle_name': 'Cocktail Party', 'hunt_name': 'MIT Mystery Hunt 2005'}
Dan Katz,Todd Radford,{'puzzle_name': 'Subservient Chicken vs. Tim the Beaver', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Elizabeth Bagby,{'puzzle_name': 'Special Art Exhibition', 'hunt_name': 'MIT Mystery Hunt 2005'}
Dan Katz,Fred Gay,{'puzzle_name': 'Runaround', 'hunt_name': 'MIT Mystery Hunt 2007'}
Dan Katz,Greg Lohman,{'puzzle_name': "Our Crew is Replaceable. Your Package Isn't.", 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Nikki Akraboff,{'puzzle_name': 'Sorry, Wrong Number', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Mike Selinker,{'puzzle_name': 'The Frail Old Man with the Abrasive Personality', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Thomas Snyder,{'puzzle_name': 'The Elderly Gentleman Who Wants to Reverse the Polarity of the Neutron Flow', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Kaitlyn Chantry,{'puzzle_name': 'Now is the Time on Kronos When We Dance', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Greg Brume,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Jonathan Sheffi,{'puzzle_name': 'Cambridge Tea Party', 'hunt_name': 'MIT Mystery Hunt 2007'}
Dan Katz,Ken Stern,{'puzzle_name': 'Runaround', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Zack Butler,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Francis Heaney,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Jennifer Braun,{'puzzle_name': 'The Maniacal Merchants', 'hunt_name': 'MIT Mystery Hunt 2017'}
Dan Katz,Tony Delgado,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Stephen Peters,{'puzzle_name': 'Broken Concentration', 'hunt_name': 'MIT Mystery Hunt 2019'}
Dan Katz,Martin Eiger,{'puzzle_name': 'Alien Mixer event', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Marsha Falco,{'puzzle_name': 'Alien Mixer event', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Ian Tullis,{'puzzle_name': 'Downsized Plutonians', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Graham Wright,{'puzzle_name': 'Where the Hell is Captain Blastoid?', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Michael King,{'puzzle_name': 'Round 11 Meta', 'hunt_name': 'MIT Mystery Hunt 2009'}
Dan Katz,Lorinne Lampert,{'puzzle_name': 'Sorry, Wrong Number', 'hunt_name': 'MIT Mystery Hunt 2009'}
